timestamp,cpu_percent,ram_percent,ram_mb,fps_real,frames_no_buffer
2026-08-15 11:42:35,0.0,0.63,98.4,6.0,6
2026-08-15 11:42:36,14.0,0.72,112.7,12.0,18
2026-08-15 11:42:37,10.3,0.78,120.6,12.0,30
2026-08-15 11:42:38,21.3,0.84,130.0,12.0,42
2026-08-15 11:42:39,20.1,0.91,141.5,13.0,55
2026-08-15 11:42:40,12.6,0.98,151.9,12.0,67
2026-08-15 11:42:41,5.4,1.05,163.2,13.0,80
2026-08-15 11:42:42,12.6,1.12,173.8,12.0,92
2026-08-15 11:42:43,5.9,1.19,185.2,13.0,105
2026-08-15 11:42:44,13.2,1.26,196.7,13.0,118
2026-08-15 11:42:45,5.9,1.33,207.2,12.0,130
2026-08-15 11:42:46,8.5,1.4,217.0,11.0,141
2026-08-15 11:42:47,28.4,1.47,229.4,14.0,155
2026-08-15 11:42:48,19.8,1.55,240.8,13.0,168
2026-08-15 11:42:49,14.0,1.62,251.3,12.0,180
2026-08-15 11:42:50,21.3,1.69,262.8,13.0,193
2026-08-15 11:42:51,24.8,1.76,274.2,13.0,206
2026-08-15 11:42:52,10.5,1.83,284.8,12.0,218
2026-08-15 11:42:53,7.8,1.9,296.2,13.0,231
2026-08-15 11:42:54,8.6,1.98,307.6,13.0,244
2026-08-15 11:42:55,10.8,2.05,319.1,13.0,257
2026-08-15 11:42:56,9.5,2.12,329.6,12.0,269
2026-08-15 11:42:57,10.0,2.19,340.2,12.0,281
2026-08-15 11:42:58,9.4,2.26,351.6,13.0,294
2026-08-15 11:42:59,15.9,2.33,362.2,12.0,306
2026-08-15 11:43:00,15.3,2.4,373.6,13.0,319
2026-08-15 11:43:01,12.4,2.47,384.1,12.0,331
2026-08-15 11:43:02,12.9,2.54,395.6,13.0,344
2026-08-15 11:43:03,14.6,2.62,407.0,13.0,357
2026-08-15 11:43:04,12.8,2.69,418.4,13.0,370
2026-08-15 11:43:05,6.8,2.76,429.9,13.0,383
2026-08-15 11:43:06,10.6,2.83,440.4,12.0,395
2026-08-15 11:43:07,10.5,2.9,451.8,13.0,408
2026-08-15 11:43:08,9.1,2.97,462.4,12.0,420
2026-08-15 11:43:09,7.6,3.05,473.8,13.0,433
2026-08-15 11:43:10,7.1,3.11,484.4,12.0,445
2026-08-15 11:43:11,12.6,3.19,495.8,13.0,458
2026-08-15 11:43:12,8.3,3.25,506.4,12.0,470
2026-08-15 11:43:13,6.3,3.33,517.8,13.0,483
2026-08-15 11:43:14,12.4,3.4,528.4,12.0,495
2026-08-15 11:43:15,13.0,3.46,538.9,12.0,507
2026-08-15 11:43:16,13.3,3.54,550.4,13.0,520
2026-08-15 11:43:17,6.4,3.61,560.9,12.0,532
2026-08-15 11:43:18,9.3,3.68,572.3,13.0,545
2026-08-15 11:43:19,9.4,3.75,582.7,12.0,557
2026-08-15 11:43:20,6.5,3.82,594.1,13.0,570
2026-08-15 11:43:21,5.7,3.89,604.6,12.0,582
2026-08-15 11:43:22,8.2,3.96,616.1,13.0,595
2026-08-15 11:43:23,11.2,4.03,626.6,12.0,607
2026-08-15 11:43:24,6.7,4.1,638.1,13.0,620
2026-08-15 11:43:25,6.6,4.17,649.5,13.0,633
2026-08-15 11:43:26,6.7,4.24,660.1,12.0,645
2026-08-15 11:43:27,10.0,4.32,671.5,13.0,658
2026-08-15 11:43:28,13.9,4.38,682.0,12.0,670
2026-08-15 11:43:29,11.3,4.46,693.5,13.0,683
2026-08-15 11:43:30,6.4,4.53,704.8,13.0,696
2026-08-15 11:43:31,9.0,4.6,715.4,12.0,708
2026-08-15 11:43:32,14.0,4.67,726.8,13.0,721
2026-08-15 11:43:33,14.1,4.74,737.4,12.0,733
2026-08-15 11:43:34,9.4,4.81,748.8,13.0,746
2026-08-15 11:43:35,9.7,4.89,760.3,13.0,759
2026-08-15 11:43:36,8.3,4.96,771.7,13.0,772
2026-08-15 11:43:37,14.8,5.03,783.1,13.0,785
2026-08-15 11:43:38,12.0,5.1,793.7,12.0,797
2026-08-15 11:43:39,10.3,5.17,804.2,12.0,809
2026-08-15 11:43:40,12.2,5.24,815.7,13.0,822
2026-08-15 11:43:41,11.9,5.31,826.2,12.0,834
2026-08-15 11:43:42,10.4,5.38,837.7,13.0,847
2026-08-15 11:43:43,7.7,5.45,848.2,12.0,859
2026-08-15 11:43:44,11.3,5.52,858.8,12.0,871
2026-08-15 11:43:45,16.7,5.59,870.2,13.0,884
2026-08-15 11:43:46,25.2,5.67,881.7,13.0,897
2026-08-15 11:43:47,7.5,5.69,885.2,12.0,900
2026-08-15 11:43:48,11.7,5.69,885.2,12.0,900
2026-08-15 11:43:49,14.3,5.69,885.2,13.0,900
2026-08-15 11:43:50,11.8,5.69,885.2,12.0,900
2026-08-15 11:43:51,7.2,5.69,885.2,13.0,900
2026-08-15 11:43:52,12.2,5.69,885.2,13.0,900
2026-08-15 11:43:53,28.0,5.69,885.2,13.0,900
2026-08-15 11:43:54,11.5,5.69,885.2,12.0,900
2026-08-15 11:43:55,8.4,5.69,885.2,13.0,900
2026-08-15 11:43:56,8.9,5.69,885.2,12.0,900
2026-08-15 11:43:57,8.5,5.69,885.2,13.0,900
2026-08-15 11:43:58,8.0,5.69,885.2,12.0,900
2026-08-15 11:43:59,14.6,5.69,885.2,13.0,900
2026-08-15 11:44:00,12.6,5.69,885.2,13.0,900
2026-08-15 11:44:01,19.6,5.69,885.2,13.0,900
2026-08-15 11:44:02,16.6,5.69,885.2,13.0,900
2026-08-15 11:44:03,16.1,5.69,885.2,12.0,900
2026-08-15 11:44:04,8.4,5.69,885.2,13.0,900
2026-08-15 11:44:05,11.6,5.69,885.2,12.0,900
2026-08-15 11:44:06,12.6,5.69,885.2,12.0,900
2026-08-15 11:44:07,9.3,5.69,885.2,13.0,900
2026-08-15 11:44:08,8.7,5.69,885.2,13.0,900
2026-08-15 11:44:09,14.7,5.69,885.2,12.0,900
2026-08-15 11:44:10,16.2,5.69,885.2,13.0,900
2026-08-15 11:44:11,15.8,5.69,885.2,13.0,900
2026-08-15 11:44:12,13.7,5.69,885.2,12.0,900
2026-08-15 11:44:13,6.5,5.69,885.2,13.0,900
2026-08-15 11:44:14,8.4,5.69,885.2,12.0,900
2026-08-15 11:44:15,15.6,5.69,885.2,12.0,900
2026-08-15 11:44:16,18.5,5.69,885.2,13.0,900
2026-08-15 11:44:17,9.0,5.69,885.2,13.0,900
2026-08-15 11:44:18,11.1,5.69,885.2,13.0,900
2026-08-15 11:44:19,8.7,5.69,885.2,12.0,900
2026-08-15 11:44:20,7.8,5.69,885.2,13.0,900
2026-08-15 11:44:21,9.6,5.69,885.2,12.0,900
2026-08-15 11:44:22,10.3,5.69,885.2,13.0,900
2026-08-15 11:44:23,8.6,5.69,885.2,12.0,900
2026-08-15 11:44:24,14.0,5.69,885.2,13.0,900
2026-08-15 11:44:25,10.5,5.69,885.2,13.0,900
2026-08-15 11:44:26,7.8,5.69,885.2,12.0,900
2026-08-15 11:44:27,13.0,5.69,885.2,13.0,900
2026-08-15 11:44:28,17.5,5.69,885.2,12.0,900
2026-08-15 11:44:29,14.9,5.69,885.2,13.0,900
2026-08-15 11:44:30,16.6,5.69,885.2,13.0,900
2026-08-15 11:44:31,21.4,5.69,885.2,13.0,900
2026-08-15 11:44:32,14.0,5.69,885.2,12.0,900
